applicant_id,age,emp_length_years,annual_income,credit_score,dti,revol_bal,total_credit_lines,open_credit_lines,public_derogatory,inquiries_last_6m,loan_amount,interest_rate,loan_status,home_ownership_MORTGAGE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,loan_intent_BUSINESS,loan_intent_DEBT_CONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOME_IMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,term_months_36,term_months_60
LN-10000,59,3.9,112000.0,642,21.16,15468.35,15,9,0,0,34300.0,15.55,0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True
LN-10001,49,21.0,22300.0,666,12.65,805.05,16,11,0,0,10000.0,14.38,0,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False
LN-10002,35,6.4,123100.0,587,16.77,8903.64,14,6,0,2,10500.0,15.32,1,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False
LN-10003,63,2.6,47100.0,700,14.83,28735.35,18,12,2,0,12000.0,14.51,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
LN-10004,28,5.5,28800.0,616,16.72,6094.92,14,11,0,1,13000.0,17.27,1,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False
LN-10005,41,2.2,47300.0,737,30.72,2636.68,22,15,0,0,3200.0,14.73,1,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False
LN-10006,59,1.2,36400.0,649,37.2,1252.08,15,10,0,0,16400.0,16.9,1,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False
LN-10007,39,4.1,69000.0,675,21.65,23515.43,12,6,0,0,2700.0,14.4,0,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False
LN-10008,43,11.9,37900.0,680,13.55,3274.41,14,6,0,1,3100.0,14.13,0,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False
LN-10009,31,11.9,18900.0,692,28.1,36444.7325,14,3,0,0,1000.0,14.12,1,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
LN-10010,31,1.9,48000.0,682,24.18,3417.4,12,6,1,0,1000.0,15.12,1,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True
LN-10011,44,3.4,25700.0,659,43.26,7870.01,20,13,0,0,7800.0,16.58,1,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False
LN-10012,56,1.1,60600.0,697,21.23,7349.74,13,8,1,2,2800.0,14.37,0,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
LN-10013,60,3.0,28200.0,703,15.07,768.19,18,12,0,2,3300.0,16.13,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True
LN-10014,44,17.9,41400.0,642,17.15,9107.33,20,14,0,0,18600.0,17.09,1,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False
LN-10015,23,4.7,59900.0,701,9.46,13400.37,9,5,0,0,27000.0,13.64,1,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True
LN-10016,42,7.3,48200.0,740,13.3,16263.86,22,9,0,1,5400.0,11.11,0,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False
LN-10017,22,5.7,62200.0,715,4.2,8872.6,15,7,0,2,5900.0,11.28,0,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False
LN-10018,44,4.0,78800.0,727,14.71,20093.17,18,8,0,0,4800.0,11.84,0,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True
LN-10019,64,0.2,28700.0,689,28.44,16736.64,19,10,0,1,12900.0,16.8,1,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True
LN-10020,50,2.7,52300.0,633,44.05500000000001,2587.68,18,10,0,2,1400.0,16.43,1,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False
LN-10021,58,5.1,15000.0,640,12.85,6161.98,20,8,0,0,6800.0,12.54,1,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False
LN-10022,22,5.1,62100.0,696,22.58,1845.95,12,6,0,0,2900.0,15.11,1,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False
LN-10023,41,3.0,45900.0,727,15.06,1718.46,25,14,0,0,19900.0,14.46,0,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
LN-10024,53,12.8,31500.0,819,12.7,14942.85,11,7,0,4,14000.0,8.785000000000002,0,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
LN-10025,32,0.8,64500.0,729,7.96,9072.0,10,8,0,1,6900.0,12.37,1,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False
LN-10026,42,3.1,103300.0,621,35.24,11024.02,18,8,0,0,1400.0,17.06,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
LN-10027,64,5.3,41700.0,642,5.36,15809.47,19,13,0,0,18800.0,15.47,1,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True
LN-10028,45,5.4,32200.0,794,20.41,3896.05,20,11,0,1,1100.0,12.36,0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
LN-10029,47,4.7,59300.0,669,6.33,6157.18,20,10,1,0,4500.0,14.63,0,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False
LN-10030,62,1.4,26000.0,682,11.29,11201.34,17,8,0,0,4100.0,14.25,1,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False
LN-10031,48,0.8,37700.0,632,34.21,1219.46,16,12,0,1,12100.0,15.94,1,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
LN-10032,36,4.5,106100.0,758,7.78,21481.02,11,10,0,0,10100.0,11.43,0,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False
LN-10033,35,4.1,56100.0,705,19.3,5049.07,18,9,0,0,4600.0,17.3,1,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True
LN-10034,67,0.9,19300.0,641,30.78,12901.78,24,13,0,1,7900.0,17.12,1,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False
LN-10035,64,5.5,20200.0,630,20.04,36444.7325,24,15,0,1,8000.0,14.48,1,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
LN-10036,23,2.7,59200.0,695,20.59,7740.57,14,4,0,1,11900.0,13.26,1,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
LN-10037,57,5.0,87100.0,682,19.87,2905.6,22,10,0,2,32000.0,13.85,1,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False
LN-10038,27,8.2,22300.0,722,6.33,2926.79,20,11,1,0,2100.0,9.3,0,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False
LN-10039,41,0.8,69400.0,707,27.29,747.31,13,6,0,0,11400.0,14.38,0,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False
LN-10040,29,0.1,112600.0,667,30.3,17484.84,21,14,0,0,1000.0,15.36,1,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False
LN-10041,59,6.8,142987.5,653,18.6,4168.02,18,6,0,0,16800.0,14.93,0,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False
LN-10042,38,4.2,65000.0,672,16.86,2275.43,18,4,0,3,14300.0,15.4,1,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
LN-10043,24,5.4,71600.0,652,6.09,15008.41,17,9,0,0,16600.0,13.46,0,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False
LN-10044,45,8.2,16800.0,673,9.62,4437.76,16,8,0,0,7600.0,14.96,1,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
LN-10045,34,7.3,142987.5,681,19.63,11009.57,19,9,0,0,2900.0,14.7,0,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False
LN-10046,29,14.6,39500.0,635,4.43,6491.84,24,12,0,0,8300.0,15.09,0,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
LN-10047,46,3.5,32400.0,712,9.01,4880.34,19,11,3,0,1000.0,13.17,0,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
LN-10048,22,3.0,47100.0,661,12.99,8066.72,16,9,0,0,6700.0,15.01,0,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False
LN-10049,40,2.3,124400.0,638,7.19,4518.92,20,12,0,0,25500.0,14.71,0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True
LN-10050,48,0.8,142987.5,662,9.19,24534.91,17,10,3,0,5800.0,14.04,1,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
LN-10051,67,3.8,58000.0,692,20.54,910.14,16,9,2,1,12500.0,14.99,1,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
LN-10052,27,1.5,93800.0,684,14.92,367.41,26,16,0,2,4200.0,13.3,0,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
LN-10053,64,11.4,55500.0,701,23.72,6258.45,18,8,0,0,2000.0,12.54,0,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
LN-10054,28,3.9,30600.0,725,12.59,2277.14,15,9,0,2,10300.0,11.77,1,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
LN-10055,67,4.0,122100.0,745,14.78,16338.12,17,9,0,0,1000.0,13.56,0,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False
LN-10056,55,2.0,38500.0,694,18.35,5232.96,17,11,0,0,17300.0,13.18,1,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
LN-10057,34,3.0,126100.0,627,9.54,3636.6,20,11,0,1,21000.0,16.48,0,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False
