age,emp_length_years,annual_income,credit_score,dti,revol_bal,total_credit_lines,open_credit_lines,public_derogatory,inquiries_last_6m,loan_amount,interest_rate,home_ownership_MORTGAGE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,loan_intent_BUSINESS,loan_intent_DEBT_CONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOME_IMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,term_months_36,term_months_60,lti,pti,revol_util_ratio,interest_risk_index,debt_burden_index,loan_status
33,1.2,35900.0,728,34.17,2060.16,11,8,0,1,16200.0,13.75,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0.45124091250940085,0.12525594338810034,0.05738447397008439,0.6444958847736626,55.3554,1
59,4.2,28300.0,611,44.05500000000001,189.18,22,10,0,2,7200.0,17.76,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,0.2544079714497721,0.10995954458636821,0.006684569449842762,1.278458823529412,31.719600000000003,1
51,9.9,94700.0,676,21.06,19438.06,10,5,0,0,26200.0,14.43,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.2766602253408095,0.11414841954427542,0.20525717785451053,0.4488859675036927,55.1772,0
21,11.4,57800.0,612,25.36,4622.81,21,12,0,0,20200.0,17.03,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0.34947492257919416,0.14955097115203397,0.07997802806179824,0.7045363784665579,51.227199999999996,1
49,8.5,34600.0,708,17.73,12408.2,28,16,0,3,14100.0,12.44,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,0.40750267333314066,0.16339666432129815,0.3586081327129274,0.31108772919605077,24.999299999999998,1
65,5.6,52200.0,672,23.66,7867.33,19,8,0,4,7200.0,15.55,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,0.13792839217639508,0.039846738708580395,0.150712246891822,0.5466760772659732,17.0352,1
52,6.5,26000.0,659,7.35,30442.09,20,12,0,1,6400.0,14.94,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,0.24614437906234377,0.1022620800346145,1.17080458443906,0.16637727272727273,4.704,1
38,8.6,104000.0,637,33.16,4214.29,19,15,0,0,6100.0,16.55,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,0.05865328217997904,0.024933809669262025,0.040521629599715385,0.8601849529780564,20.2276,0
31,5.3,71000.0,633,7.99,25245.81,15,11,0,2,25200.0,15.38,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,0.354924578527063,0.14841372794934016,0.355569780707314,0.1938268138801262,20.134800000000002,0
23,3.0,80500.0,739,28.48,126.65,15,9,0,0,2400.0,15.97,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,0.02981329424479199,0.008693127193404015,0.001573272381709544,0.6146291891891892,6.8351999999999995,1
