applicant_id,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,loan_status
LN-10000,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10001,0,0,0,0,1,0,0,0,0,0,0,0,0
LN-10002,0,0,1,0,0,0,0,1,2,1,0,1,1
LN-10003,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10004,1,0,0,0,1,0,1,0,1,0,1,0,1
LN-10005,0,1,0,0,1,2,3,3,3,3,3,3,1
LN-10006,0,0,0,1,0,1,2,1,0,1,2,3,1
LN-10007,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10008,0,0,0,1,2,3,3,3,3,3,3,3,0
LN-10009,0,0,1,2,3,3,3,3,3,3,3,3,1
LN-10010,0,1,0,1,0,0,0,1,2,1,2,3,1
LN-10011,0,0,0,1,0,0,1,0,1,0,1,2,1
LN-10012,0,0,0,0,0,0,0,0,0,1,0,0,0
LN-10013,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10014,0,0,1,2,1,0,0,0,1,0,1,2,1
LN-10015,0,1,0,0,1,0,0,0,0,0,1,2,1
LN-10016,0,0,0,0,0,0,0,0,1,0,0,0,0
LN-10017,0,0,0,0,0,0,0,1,0,0,0,0,0
LN-10018,0,0,0,0,0,0,0,0,1,0,0,0,0
LN-10019,0,1,2,1,2,1,2,3,3,3,3,3,1
LN-10020,1,0,1,2,3,3,3,3,3,3,3,3,1
LN-10021,0,1,0,1,2,3,3,3,3,3,3,3,1
LN-10022,0,0,0,0,1,0,0,1,0,0,1,0,1
LN-10023,1,0,0,0,0,0,0,0,0,0,0,0,0
LN-10024,0,0,0,0,0,0,0,0,0,1,0,0,0
LN-10025,0,0,0,0,1,0,1,2,1,2,3,3,1
LN-10026,0,1,2,1,0,0,0,0,1,0,1,0,1
LN-10027,1,0,0,0,1,0,0,1,0,1,2,3,1
LN-10028,0,0,0,0,1,0,0,0,0,0,0,0,0
LN-10029,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10030,0,0,0,1,0,0,1,0,1,0,1,2,1
LN-10031,0,0,1,2,3,3,3,3,3,3,3,3,1
LN-10032,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10033,0,1,0,0,1,0,1,0,1,0,0,0,1
LN-10034,1,0,0,1,0,1,0,0,0,1,0,1,1
LN-10035,1,2,1,0,0,1,2,3,3,3,3,3,1
LN-10036,0,1,0,0,0,0,0,1,2,3,3,3,1
LN-10037,1,0,1,0,0,1,0,1,0,0,0,1,1
LN-10038,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10039,0,0,0,0,1,0,0,0,0,0,0,0,0
LN-10040,0,1,2,3,3,3,3,3,3,3,3,3,1
LN-10041,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10042,0,1,2,1,0,0,0,0,0,0,0,1,1
LN-10043,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10044,0,0,1,0,0,0,0,0,1,2,3,3,1
LN-10045,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10046,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10047,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10048,0,0,1,0,0,0,0,0,0,0,0,0,0
LN-10049,0,0,0,0,1,0,0,0,0,1,0,0,0
LN-10050,1,2,1,2,1,2,1,2,1,2,3,3,1
LN-10051,0,1,0,0,1,2,1,0,1,0,1,2,1
LN-10052,0,0,0,0,0,0,0,0,1,0,1,0,0
LN-10053,0,0,0,0,0,0,0,0,0,1,0,0,0
LN-10054,0,0,1,0,0,0,0,1,2,3,3,3,1
LN-10055,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10056,0,1,0,1,0,1,0,1,0,0,1,2,1
LN-10057,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10058,0,0,0,0,1,0,0,0,1,0,0,1,0
LN-10059,0,0,0,0,0,0,0,0,0,0,1,0,0
LN-10060,0,0,1,0,0,0,0,0,0,0,0,1,0
LN-10061,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10062,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10063,0,0,1,0,0,0,1,0,0,0,0,0,0
LN-10064,0,1,0,0,1,2,3,3,3,3,3,3,1
LN-10065,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10066,1,0,0,0,1,0,1,0,0,0,0,0,1
LN-10067,0,0,0,0,0,0,0,0,1,2,1,2,1
LN-10068,0,0,0,0,1,0,0,0,0,0,0,0,0
LN-10069,0,1,0,0,1,2,1,0,0,1,0,1,1
LN-10070,1,2,3,3,3,3,3,3,3,3,3,3,1
LN-10071,0,0,0,0,0,0,1,2,1,0,1,2,1
LN-10072,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10073,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10074,0,1,2,1,0,0,0,0,1,2,1,0,1
LN-10075,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10076,0,0,0,0,1,2,3,3,3,3,3,3,1
LN-10077,0,0,0,1,0,0,1,2,1,2,3,3,1
LN-10078,1,0,0,0,0,0,0,0,0,0,0,0,0
LN-10079,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10080,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10081,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10082,1,0,0,0,0,1,0,1,0,1,0,1,1
LN-10083,0,0,0,0,0,0,1,0,0,0,0,0,0
LN-10084,0,0,1,0,0,0,0,0,0,0,0,0,0
LN-10085,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10086,0,1,0,0,0,0,0,0,0,1,0,0,0
LN-10087,0,0,0,1,0,0,0,1,0,0,0,0,1
LN-10088,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10089,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10090,1,2,3,3,3,3,3,3,3,3,3,3,1
LN-10091,0,0,0,0,0,0,0,0,0,0,1,0,0
LN-10092,0,0,0,0,0,1,2,1,0,1,0,0,1
LN-10093,0,0,0,1,2,3,3,3,3,3,3,3,1
LN-10094,0,0,0,1,2,3,3,3,3,3,3,3,1
LN-10095,0,0,1,0,0,1,0,1,0,1,2,1,1
LN-10096,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10097,0,1,2,1,0,0,0,1,2,3,3,3,1
LN-10098,0,1,0,0,0,0,0,1,2,3,3,3,1
LN-10099,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10100,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10101,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10102,0,0,1,0,1,0,0,0,0,0,0,0,0
LN-10103,0,0,0,1,0,0,0,1,2,1,2,1,1
LN-10104,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10105,0,1,0,0,0,1,2,1,2,1,2,1,1
LN-10106,0,0,1,0,0,0,0,0,0,0,0,0,0
LN-10107,0,0,0,0,0,0,0,0,0,0,0,0,0
LN-10108,0,0,1,2,3,3,3,3,3,3,3,3,1
LN-10109,1,0,1,0,1,0,1,0,0,1,2,3,1
LN-10110,0,1,2,3,3,3,3,3,3,3,3,3,1
LN-10111,0,0,0,0,1,0,1,0,0,0,0,0,0
LN-10112,0,0,0,0,0,0,0,0,0,0,0,0,0
